""
epoch,train_acc,test_acc,loss
1,0.5160986185073853,0.6457,1.4250369001837337
2,0.6933482885360718,0.7382,1.0093376203571134
3,0.7500525116920471,0.7867,0.8756988934238853
4,0.784442663192749,0.791,0.7901914221094087
5,0.812524676322937,0.8037,0.7364230569823623
6,0.8509819507598877,0.7943,0.6217478717989324
7,0.8627668023109436,0.8218,0.5956748836218854
8,0.8708905577659607,0.8166,0.5610110788127346
9,0.897040069103241,0.8201,0.4715011152712738
10,0.8877378106117249,0.8188,0.4905401950039903
11,0.8873197436332703,0.8327,0.4969232553268409
12,0.8935282230377197,0.8433,0.4474578958119044
13,0.890269935131073,0.8352,0.45661192919935106
14,0.890045166015625,0.8247,0.461059350670432
15,0.8963596224784851,0.8352,0.42579563109971147
16,0.8862820863723755,0.8202,0.4687549824828801
17,0.9065991640090942,0.8374,0.4046968960124628
18,0.8996378183364868,0.8327,0.4185058498955177
19,0.897365152835846,0.8365,0.4286856685891328
20,0.8919628262519836,0.8324,0.4356843144954432
21,0.8858762383460999,0.8385,0.4715207657202735
22,0.9012309908866882,0.844,0.41690423955326267
23,0.9012965559959412,0.832,0.4119383888295316
24,0.8973371386528015,0.8358,0.42891240519616763
25,0.8903261423110962,0.8382,0.44664813996866687
26,0.897430419921875,0.8362,0.4307372308934055
27,0.9030484557151794,0.8237,0.4007071520837829
28,0.8980938792228699,0.8417,0.4151780353406506
29,0.892629086971283,0.8333,0.4259690529478671
30,0.8937590718269348,0.8285,0.4318850341674579
