""
epoch,train_acc,test_acc,loss
1,0.50008,0.6121,1.3684536296388377
2,0.67088,0.6825,0.9236481535770095
3,0.73518,0.7766,0.7466480570376072
4,0.7777,0.7329,0.6257134343657043
5,0.8085,0.7732,0.544701588733117
6,0.83004,0.8056,0.4763793813450562
7,0.85298,0.8084,0.4182091700603895
8,0.87242,0.8166,0.36630912167032054
9,0.88506,0.8172,0.3252450424768126
10,0.89854,0.783,0.2877931656968563
11,0.90844,0.8217,0.26068041551753385
12,0.91562,0.8363,0.2362942139777686
13,0.9235,0.8266,0.2184059215171258
14,0.92904,0.8409,0.19661452019077433
15,0.93862,0.8508,0.17693091874651592
16,0.9422,0.837,0.16482601022285878
17,0.94742,0.8262,0.14955605239705053
18,0.94974,0.8353,0.14550641070470174
19,0.95304,0.8362,0.1362608114395605
20,0.95636,0.8354,0.1251839168865205
21,0.96072,0.8147,0.11410512342629835
22,0.95952,0.8434,0.11719620245916154
23,0.96232,0.8353,0.11018000966142816
24,0.96388,0.8399,0.10497642531895729
25,0.96644,0.8415,0.09857551582976985
26,0.96646,0.8498,0.09657766587574922
27,0.96728,0.8481,0.09637605678051939
28,0.9704,0.8349,0.08801561139543038
29,0.96886,0.8432,0.08933864023698412
30,0.97234,0.819,0.0819557543291384
