epoch,train_acc,test_acc,loss
,,,
1,0.556900024,0.6749,1.236820543
,,,
2,0.733479977,0.7596,0.771248712
,,,
3,0.812080026,0.7718,0.562122041
,,,
4,0.843879998,0.8041,0.482620122
,,,
5,0.900520027,0.7604,0.331561639
,,,
6,0.916939974,0.7659,0.290621019
,,,
7,0.926779985,0.7995,0.262040593
,,,
8,0.938120008,0.7978,0.218690101
,,,
9,0.955860019,0.8312,0.178384477
,,,
10,0.956539989,0.824,0.173125603
,,,
11,0.955120027,0.8109,0.189580077
,,,
12,0.958079994,0.8344,0.162861664
,,,
13,0.97074002,0.8243,0.114411648
,,,
14,0.95976001,0.8382,0.156763788
,,,
15,0.969399989,0.8309,0.125322524
,,,
16,0.968240023,0.8382,0.121596705
,,,
17,0.957379997,0.85,0.15257333
,,,
18,0.968659997,0.8431,0.123977759
,,,
19,0.96232003,0.8305,0.147320018
,,,
20,0.980579972,0.8463,0.090226332
,,,
21,0.949739993,0.8446,0.178820877
,,,
22,0.973160028,0.847,0.116817969
,,,
23,0.97428,0.8406,0.102040204
,,,
24,0.958999991,0.8339,0.126755347
,,,
25,0.977199972,0.8423,0.08628068
,,,
26,0.966239989,0.8425,0.109820412
,,,
27,0.966880023,0.8214,0.118056435
,,,
28,0.972000003,0.8485,0.098320954
,,,
29,0.977119982,0.8404,0.088891789
,,,
30,0.971360028,0.8429,0.094366311
