Epoch,cutmix,cutout,base,mixup
1,0.5788,0.50008,0.516098619,0.556900024
2,0.76654,0.67088,0.693348289,0.733479977
3,0.83622,0.73518,0.750052512,0.812080026
4,0.8886,0.7777,0.784442663,0.843879998
5,0.9229,0.8085,0.812524676,0.900520027
6,0.9466,0.83004,0.850981951,0.916939974
7,0.96282,0.85298,0.862766802,0.926779985
8,0.97154,0.87242,0.870890558,0.938120008
9,0.9816,0.88506,0.897040069,0.955860019
10,0.9856,0.89854,0.887737811,0.956539989
11,0.98836,0.90844,0.887319744,0.955120027
12,0.98984,0.91562,0.893528223,0.958079994
13,0.99084,0.9235,0.890269935,0.97074002
14,0.99236,0.92904,0.890045166,0.95976001
15,0.99528,0.93862,0.896359622,0.969399989
16,0.99498,0.9422,0.886282086,0.968240023
17,0.99688,0.94742,0.906599164,0.957379997
18,0.99962,0.94974,0.899637818,0.968659997
19,1,0.95304,0.897365153,0.96232003
20,1,0.95636,0.891962826,0.980579972
21,1,0.96072,0.885876238,0.949739993
22,1,0.95952,0.901230991,0.973160028
23,1,0.96232,0.901296556,0.97428
24,1,0.96388,0.897337139,0.958999991
25,1,0.96644,0.890326142,0.977199972
26,1,0.96646,0.89743042,0.966239989
27,1,0.96728,0.903048456,0.966880023
28,1,0.9704,0.898093879,0.972000003
29,1,0.96886,0.892629087,0.977119982
30,1,0.97234,0.893759072,0.971360028
